Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Tue, Dec 28, 2021",10:00p,Denver Nuggets,89,Golden State Warriors,86,Box Score,,"18,064",
"Tue, Dec 28, 2021",10:00p,Oklahoma City Thunder,111,Sacramento Kings,117,Box Score,,"14,750",
"Wed, Dec 29, 2021",7:00p,New York Knicks,94,Detroit Pistons,85,Box Score,,"18,312",
"Wed, Dec 29, 2021",7:00p,Charlotte Hornets,116,Indiana Pacers,108,Box Score,,"17,608",
"Wed, Dec 29, 2021",7:30p,Los Angeles Clippers,91,Boston Celtics,82,Box Score,,"19,156",
"Wed, Dec 29, 2021",8:00p,Atlanta Hawks,117,Chicago Bulls,131,Box Score,,"21,372",
"Wed, Dec 29, 2021",8:00p,Los Angeles Lakers,99,Memphis Grizzlies,104,Box Score,,"17,794",
"Wed, Dec 29, 2021",9:00p,Oklahoma City Thunder,97,Phoenix Suns,115,Box Score,,"17,071",
"Wed, Dec 29, 2021",10:00p,Utah Jazz,120,Portland Trail Blazers,105,Box Score,,"17,828",
"Wed, Dec 29, 2021",10:30p,Dallas Mavericks,94,Sacramento Kings,95,Box Score,,"16,071",
"Thu, Dec 30, 2021",7:00p,Philadelphia 76ers,110,Brooklyn Nets,102,Box Score,,"17,920",
"Thu, Dec 30, 2021",7:00p,Milwaukee Bucks,136,Orlando Magic,118,Box Score,,"15,855",
"Thu, Dec 30, 2021",7:00p,Cleveland Cavaliers,93,Washington Wizards,110,Box Score,,"15,637",
"Fri, Dec 31, 2021",1:00p,Phoenix Suns,108,Boston Celtics,123,Box Score,,"19,156",
"Fri, Dec 31, 2021",3:00p,Chicago Bulls,108,Indiana Pacers,106,Box Score,,"17,515",
"Fri, Dec 31, 2021",6:00p,Dallas Mavericks,112,Sacramento Kings,96,Box Score,,"15,833",
"Fri, Dec 31, 2021",7:00p,Miami Heat,120,Houston Rockets,110,Box Score,,"16,197",
"Fri, Dec 31, 2021",7:30p,Atlanta Hawks,121,Cleveland Cavaliers,118,Box Score,,"17,745",
"Fri, Dec 31, 2021",7:30p,Los Angeles Clippers,108,Toronto Raptors,116,Box Score,,0,
"Fri, Dec 31, 2021",8:00p,San Antonio Spurs,105,Memphis Grizzlies,118,Box Score,,"15,412",
"Fri, Dec 31, 2021",8:00p,New York Knicks,80,Oklahoma City Thunder,95,Box Score,,"16,451",
"Fri, Dec 31, 2021",9:00p,Minnesota Timberwolves,108,Utah Jazz,120,Box Score,,"18,306",
"Fri, Dec 31, 2021",10:30p,Portland Trail Blazers,106,Los Angeles Lakers,139,Box Score,,"18,997",
"Sat, Jan 1, 2022",6:30p,New Orleans Pelicans,113,Milwaukee Bucks,136,Box Score,,"17,341",
"Sat, Jan 1, 2022",7:00p,San Antonio Spurs,116,Detroit Pistons,117,Box Score,OT,"18,911",
"Sat, Jan 1, 2022",7:00p,Chicago Bulls,120,Washington Wizards,119,Box Score,,"19,043",
"Sat, Jan 1, 2022",7:30p,Los Angeles Clippers,120,Brooklyn Nets,116,Box Score,,"17,732",
"Sat, Jan 1, 2022",8:00p,Denver Nuggets,124,Houston Rockets,111,Box Score,,"18,055",
"Sat, Jan 1, 2022",9:00p,Golden State Warriors,123,Utah Jazz,116,Box Score,,"18,306",
"Sun, Jan 2, 2022",3:30p,New York Knicks,105,Toronto Raptors,120,Box Score,,0,
"Sun, Jan 2, 2022",6:00p,Orlando Magic,111,Boston Celtics,116,Box Score,OT,"19,156",
"Sun, Jan 2, 2022",6:00p,Indiana Pacers,104,Cleveland Cavaliers,108,Box Score,,"17,808",
"Sun, Jan 2, 2022",6:00p,Miami Heat,113,Sacramento Kings,115,Box Score,,"13,699",
"Sun, Jan 2, 2022",7:00p,Phoenix Suns,133,Charlotte Hornets,99,Box Score,,"19,088",
"Sun, Jan 2, 2022",7:00p,Dallas Mavericks,95,Oklahoma City Thunder,86,Box Score,,"14,751",
"Sun, Jan 2, 2022",9:30p,Minnesota Timberwolves,103,Los Angeles Lakers,108,Box Score,,"18,343",
"Mon, Jan 3, 2022",7:00p,Houston Rockets,113,Philadelphia 76ers,133,Box Score,,"20,026",
"Mon, Jan 3, 2022",7:00p,Charlotte Hornets,121,Washington Wizards,124,Box Score,,"8,902",
"Mon, Jan 3, 2022",7:30p,Memphis Grizzlies,118,Brooklyn Nets,104,Box Score,,"17,089",
"Mon, Jan 3, 2022",8:00p,Orlando Magic,98,Chicago Bulls,102,Box Score,,"20,502",
"Mon, Jan 3, 2022",8:00p,Detroit Pistons,115,Milwaukee Bucks,106,Box Score,,"17,341",
"Mon, Jan 3, 2022",8:00p,Utah Jazz,115,New Orleans Pelicans,104,Box Score,,"15,057",
"Mon, Jan 3, 2022",8:30p,Denver Nuggets,89,Dallas Mavericks,103,Box Score,,"19,767",
"Mon, Jan 3, 2022",10:00p,Miami Heat,108,Golden State Warriors,115,Box Score,,"18,064",
"Mon, Jan 3, 2022",10:00p,Atlanta Hawks,131,Portland Trail Blazers,136,Box Score,,"15,091",
"Mon, Jan 3, 2022",10:30p,Minnesota Timberwolves,122,Los Angeles Clippers,104,Box Score,,"15,959",
"Tue, Jan 4, 2022",7:00p,Memphis Grizzlies,110,Cleveland Cavaliers,106,Box Score,,"18,178",
"Tue, Jan 4, 2022",7:00p,San Antonio Spurs,104,Toronto Raptors,129,Box Score,,0,
"Tue, Jan 4, 2022",7:30p,Indiana Pacers,94,New York Knicks,104,Box Score,,"18,449",
"Tue, Jan 4, 2022",8:00p,Phoenix Suns,123,New Orleans Pelicans,110,Box Score,,"15,158",
"Tue, Jan 4, 2022",10:30p,Sacramento Kings,114,Los Angeles Lakers,122,Box Score,,"17,919",
"Wed, Jan 5, 2022",7:00p,Detroit Pistons,111,Charlotte Hornets,140,Box Score,,"14,427",
"Wed, Jan 5, 2022",7:00p,Philadelphia 76ers,116,Orlando Magic,106,Box Score,,"13,116",
"Wed, Jan 5, 2022",7:00p,Houston Rockets,114,Washington Wizards,111,Box Score,,"13,014",
"Wed, Jan 5, 2022",7:30p,San Antonio Spurs,99,Boston Celtics,97,Box Score,,"19,156",
"Wed, Jan 5, 2022",7:30p,Golden State Warriors,82,Dallas Mavericks,99,Box Score,,"20,441",
"Wed, Jan 5, 2022",7:30p,Brooklyn Nets,129,Indiana Pacers,121,Box Score,,"14,176",
"Wed, Jan 5, 2022",8:00p,Toronto Raptors,117,Milwaukee Bucks,111,Box Score,,"17,341",
"Wed, Jan 5, 2022",8:00p,Oklahoma City Thunder,90,Minnesota Timberwolves,98,Box Score,,"14,375",
"Wed, Jan 5, 2022",10:00p,Utah Jazz,115,Denver Nuggets,109,Box Score,,"14,056",
"Wed, Jan 5, 2022",10:00p,Miami Heat,115,Portland Trail Blazers,109,Box Score,,"15,773",
"Wed, Jan 5, 2022",10:00p,Atlanta Hawks,108,Sacramento Kings,102,Box Score,,"13,104",
"Thu, Jan 6, 2022",7:30p,Boston Celtics,105,New York Knicks,108,Box Score,,"17,529",
"Thu, Jan 6, 2022",8:00p,Detroit Pistons,88,Memphis Grizzlies,118,Box Score,,"12,983",
"Thu, Jan 6, 2022",8:00p,Golden State Warriors,96,New Orleans Pelicans,101,Box Score,,"15,986",
"Thu, Jan 6, 2022",10:00p,Los Angeles Clippers,89,Phoenix Suns,106,Box Score,,"17,071",
"Fri, Jan 7, 2022",7:00p,San Antonio Spurs,100,Philadelphia 76ers,119,Box Score,,"20,265",
"Fri, Jan 7, 2022",7:30p,Milwaukee Bucks,121,Brooklyn Nets,109,Box Score,,"17,732",
"Fri, Jan 7, 2022",7:30p,Utah Jazz,108,Toronto Raptors,122,Box Score,,0,
"Fri, Jan 7, 2022",8:00p,Washington Wizards,122,Chicago Bulls,130,Box Score,,"21,700",
"Fri, Jan 7, 2022",8:00p,Dallas Mavericks,130,Houston Rockets,106,Box Score,,"15,238",
"Fri, Jan 7, 2022",8:00p,Minnesota Timberwolves,135,Oklahoma City Thunder,105,Box Score,,"14,874",
"Fri, Jan 7, 2022",9:00p,Sacramento Kings,111,Denver Nuggets,121,Box Score,,"15,966",
"Fri, Jan 7, 2022",10:00p,Atlanta Hawks,118,Los Angeles Lakers,134,Box Score,,"18,997",
"Fri, Jan 7, 2022",10:00p,Cleveland Cavaliers,114,Portland Trail Blazers,101,Box Score,,"16,708",
"Sat, Jan 8, 2022",3:30p,Memphis Grizzlies,123,Los Angeles Clippers,108,Box Score,,"17,936",
"Sat, Jan 8, 2022",7:00p,Milwaukee Bucks,106,Charlotte Hornets,114,Box Score,,"19,139",
"Sat, Jan 8, 2022",7:00p,Orlando Magic,92,Detroit Pistons,97,Box Score,,"18,644",
"Sat, Jan 8, 2022",7:00p,Utah Jazz,113,Indiana Pacers,125,Box Score,,"13,160",
"Sat, Jan 8, 2022",7:30p,New York Knicks,75,Boston Celtics,99,Box Score,,"19,156",
"Sat, Jan 8, 2022",9:00p,Miami Heat,123,Phoenix Suns,100,Box Score,,"17,071",
"Sun, Jan 9, 2022",12:00p,San Antonio Spurs,119,Brooklyn Nets,121,Box Score,OT,"15,606",
"Sun, Jan 9, 2022",3:30p,Atlanta Hawks,93,Los Angeles Clippers,106,Box Score,,"14,836",
"Sun, Jan 9, 2022",6:00p,Washington Wizards,102,Orlando Magic,100,Box Score,,"13,223",
"Sun, Jan 9, 2022",6:00p,New Orleans Pelicans,101,Toronto Raptors,105,Box Score,,,
"Sun, Jan 9, 2022",7:00p,Minnesota Timberwolves,141,Houston Rockets,123,Box Score,,"15,277",
"Sun, Jan 9, 2022",7:00p,Denver Nuggets,99,Oklahoma City Thunder,95,Box Score,,"14,772",
"Sun, Jan 9, 2022",7:30p,Chicago Bulls,99,Dallas Mavericks,113,Box Score,,"20,041",
"Sun, Jan 9, 2022",8:30p,Cleveland Cavaliers,82,Golden State Warriors,96,Box Score,,"18,064",
"Sun, Jan 9, 2022",9:00p,Sacramento Kings,88,Portland Trail Blazers,103,Box Score,,"16,408",
"Sun, Jan 9, 2022",9:30p,Memphis Grizzlies,127,Los Angeles Lakers,119,Box Score,,"18,288",
"Mon, Jan 10, 2022",7:00p,Milwaukee Bucks,99,Charlotte Hornets,103,Box Score,,"14,253",
"Mon, Jan 10, 2022",7:00p,Utah Jazz,116,Detroit Pistons,126,Box Score,,"17,834",
"Mon, Jan 10, 2022",7:30p,Indiana Pacers,98,Boston Celtics,101,Box Score,OT,"19,156",
"Mon, Jan 10, 2022",7:30p,San Antonio Spurs,96,New York Knicks,111,Box Score,,"16,569",
"Mon, Jan 10, 2022",8:00p,Philadelphia 76ers,111,Houston Rockets,91,Box Score,,"13,593",
"Mon, Jan 10, 2022",10:00p,Brooklyn Nets,108,Portland Trail Blazers,114,Box Score,,"16,379",
"Mon, Jan 10, 2022",10:00p,Cleveland Cavaliers,109,Sacramento Kings,108,Box Score,,"12,110",
"Tue, Jan 11, 2022",7:00p,Oklahoma City Thunder,118,Washington Wizards,122,Box Score,,"13,985",
"Tue, Jan 11, 2022",7:30p,Phoenix Suns,99,Toronto Raptors,95,Box Score,,0,
"Tue, Jan 11, 2022",8:00p,Detroit Pistons,87,Chicago Bulls,133,Box Score,,"19,886",
"Tue, Jan 11, 2022",8:00p,Golden State Warriors,108,Memphis Grizzlies,116,Box Score,,"17,794",
"Tue, Jan 11, 2022",8:00p,Minnesota Timberwolves,125,New Orleans Pelicans,128,Box Score,,"15,155",
"Tue, Jan 11, 2022",10:30p,Denver Nuggets,85,Los Angeles Clippers,87,Box Score,,"15,077",
"Wed, Jan 12, 2022",7:00p,Boston Celtics,119,Indiana Pacers,100,Box Score,,"13,560",
"Wed, Jan 12, 2022",7:00p,Charlotte Hornets,109,Philadelphia 76ers,98,Box Score,,"20,317",
"Wed, Jan 12, 2022",7:00p,Orlando Magic,106,Washington Wizards,112,Box Score,,"13,138",
"Wed, Jan 12, 2022",7:30p,Miami Heat,115,Atlanta Hawks,91,Box Score,,"15,355",
"Wed, Jan 12, 2022",7:30p,Dallas Mavericks,85,New York Knicks,108,Box Score,,"18,215",
"Wed, Jan 12, 2022",8:30p,Houston Rockets,128,San Antonio Spurs,124,Box Score,,"11,314",
"Wed, Jan 12, 2022",9:00p,Cleveland Cavaliers,111,Utah Jazz,91,Box Score,,"18,306",
"Wed, Jan 12, 2022",10:00p,Brooklyn Nets,138,Chicago Bulls,112,Box Score,,"21,698",
"Wed, Jan 12, 2022",10:00p,Los Angeles Lakers,116,Sacramento Kings,125,Box Score,,"12,199",
"Thu, Jan 13, 2022",7:30p,Golden State Warriors,99,Milwaukee Bucks,118,Box Score,,"17,848",
"Thu, Jan 13, 2022",8:00p,Minnesota Timberwolves,108,Memphis Grizzlies,116,Box Score,,"15,881",
"Thu, Jan 13, 2022",8:00p,Los Angeles Clippers,89,New Orleans Pelicans,113,Box Score,,"15,406",
"Thu, Jan 13, 2022",8:30p,Oklahoma City Thunder,130,Brooklyn Nets,109,Box Score,,"16,964",
"Thu, Jan 13, 2022",10:00p,Portland Trail Blazers,108,Denver Nuggets,140,Box Score,,"14,972",
"Fri, Jan 14, 2022",7:00p,Orlando Magic,116,Charlotte Hornets,109,Box Score,,"16,011",
"Fri, Jan 14, 2022",7:00p,Toronto Raptors,87,Detroit Pistons,103,Box Score,,"18,011",
"Fri, Jan 14, 2022",7:00p,Phoenix Suns,112,Indiana Pacers,94,Box Score,,"14,019",
"Fri, Jan 14, 2022",7:00p,Boston Celtics,99,Philadelphia 76ers,111,Box Score,,"20,444",
"Fri, Jan 14, 2022",7:30p,Golden State Warriors,138,Chicago Bulls,96,Box Score,,"21,174",
"Fri, Jan 14, 2022",8:00p,Atlanta Hawks,118,Miami Heat,124,Box Score,,"19,600",
"Fri, Jan 14, 2022",8:30p,Cleveland Cavaliers,114,San Antonio Spurs,109,Box Score,,"12,160",
"Fri, Jan 14, 2022",10:00p,Dallas Mavericks,112,Memphis Grizzlies,85,Box Score,,"16,712",
"Fri, Jan 14, 2022",10:00p,Houston Rockets,114,Sacramento Kings,126,Box Score,,"12,857",
"Sat, Jan 15, 2022",6:30p,Toronto Raptors,103,Milwaukee Bucks,96,Box Score,,"17,341",
"Sat, Jan 15, 2022",7:00p,Portland Trail Blazers,115,Washington Wizards,110,Box Score,,"15,124",
"Sat, Jan 15, 2022",7:30p,New York Knicks,117,Atlanta Hawks,108,Box Score,,"16,414",
"Sat, Jan 15, 2022",7:30p,New Orleans Pelicans,105,Brooklyn Nets,120,Box Score,,"17,034",
"Sat, Jan 15, 2022",8:00p,Philadelphia 76ers,109,Miami Heat,98,Box Score,,"19,600",
"Sat, Jan 15, 2022",8:00p,Cleveland Cavaliers,107,Oklahoma City Thunder,102,Box Score,,"15,284",
"Sat, Jan 15, 2022",8:30p,Chicago Bulls,112,Boston Celtics,114,Box Score,,"19,156",
"Sat, Jan 15, 2022",8:30p,Los Angeles Clippers,94,San Antonio Spurs,101,Box Score,,"13,223",
"Sat, Jan 15, 2022",9:00p,Los Angeles Lakers,96,Denver Nuggets,133,Box Score,,"19,520",
"Sat, Jan 15, 2022",9:30p,Orlando Magic,92,Dallas Mavericks,108,Box Score,,"19,816",
"Sun, Jan 16, 2022",1:00p,Phoenix Suns,135,Detroit Pistons,108,Box Score,,"18,178",
"Sun, Jan 16, 2022",6:00p,Houston Rockets,118,Sacramento Kings,112,Box Score,,"13,601",
"Sun, Jan 16, 2022",8:00p,Utah Jazz,125,Denver Nuggets,102,Box Score,,"15,647",
"Sun, Jan 16, 2022",8:00p,Golden State Warriors,99,Minnesota Timberwolves,119,Box Score,,"17,136",
"Mon, Jan 17, 2022",12:30p,New Orleans Pelicans,92,Boston Celtics,104,Box Score,,"19,156",
"Mon, Jan 17, 2022",1:00p,Charlotte Hornets,97,New York Knicks,87,Box Score,,"19,812",
"Mon, Jan 17, 2022",2:00p,Philadelphia 76ers,98,Washington Wizards,117,Box Score,,"14,581",
"Mon, Jan 17, 2022",3:00p,Brooklyn Nets,107,Cleveland Cavaliers,114,Box Score,,"18,105",
"Mon, Jan 17, 2022",3:30p,Indiana Pacers,133,Los Angeles Clippers,139,Box Score,,"15,080",
"Mon, Jan 17, 2022",3:30p,Chicago Bulls,106,Memphis Grizzlies,119,Box Score,,"17,794",
"Mon, Jan 17, 2022",6:00p,Milwaukee Bucks,114,Atlanta Hawks,121,Box Score,,"16,903",
"Mon, Jan 17, 2022",7:00p,Portland Trail Blazers,98,Orlando Magic,88,Box Score,,"13,648",
"Mon, Jan 17, 2022",7:30p,Toronto Raptors,99,Miami Heat,104,Box Score,,"19,600",
"Mon, Jan 17, 2022",8:30p,Oklahoma City Thunder,102,Dallas Mavericks,104,Box Score,,"19,266",
"Mon, Jan 17, 2022",8:30p,Phoenix Suns,121,San Antonio Spurs,107,Box Score,,"10,422",
"Mon, Jan 17, 2022",10:30p,Utah Jazz,95,Los Angeles Lakers,101,Box Score,,"17,238",
"Tue, Jan 18, 2022",7:30p,Minnesota Timberwolves,112,New York Knicks,110,Box Score,,"16,071",
"Tue, Jan 18, 2022",10:00p,Detroit Pistons,86,Golden State Warriors,102,Box Score,,"18,064",
"Wed, Jan 19, 2022",7:00p,Orlando Magic,110,Philadelphia 76ers,123,Box Score,,"20,081",
"Wed, Jan 19, 2022",7:00p,Brooklyn Nets,119,Washington Wizards,118,Box Score,,"15,380",
"Wed, Jan 19, 2022",7:30p,Minnesota Timberwolves,122,Atlanta Hawks,134,Box Score,,"15,199",
"Wed, Jan 19, 2022",7:30p,Charlotte Hornets,111,Boston Celtics,102,Box Score,,"19,156",
"Wed, Jan 19, 2022",7:30p,Portland Trail Blazers,92,Miami Heat,104,Box Score,,"19,600",
"Wed, Jan 19, 2022",8:00p,Cleveland Cavaliers,104,Chicago Bulls,117,Box Score,,"20,824",
"Wed, Jan 19, 2022",8:00p,Memphis Grizzlies,114,Milwaukee Bucks,126,Box Score,,"17,341",
"Wed, Jan 19, 2022",8:30p,Toronto Raptors,98,Dallas Mavericks,102,Box Score,,"19,218",
"Wed, Jan 19, 2022",8:30p,Oklahoma City Thunder,96,San Antonio Spurs,118,Box Score,,"11,848",
"Wed, Jan 19, 2022",9:00p,Houston Rockets,116,Utah Jazz,111,Box Score,,"18,306",
"Wed, Jan 19, 2022",10:00p,Los Angeles Clippers,128,Denver Nuggets,130,Box Score,OT,"14,547",
"Wed, Jan 19, 2022",10:00p,Detroit Pistons,133,Sacramento Kings,131,Box Score,,"12,907",
"Wed, Jan 19, 2022",10:30p,Indiana Pacers,111,Los Angeles Lakers,104,Box Score,,"17,818",
"Thu, Jan 20, 2022",7:30p,Phoenix Suns,109,Dallas Mavericks,101,Box Score,,"18,306",
"Thu, Jan 20, 2022",7:30p,New Orleans Pelicans,102,New York Knicks,91,Box Score,,"16,168",
"Thu, Jan 20, 2022",10:00p,Indiana Pacers,121,Golden State Warriors,117,Box Score,OT,"18,064",
"Fri, Jan 21, 2022",7:00p,Oklahoma City Thunder,98,Charlotte Hornets,121,Box Score,,"15,835",
"Fri, Jan 21, 2022",7:00p,Los Angeles Lakers,116,Orlando Magic,105,Box Score,,"18,846",
"Fri, Jan 21, 2022",7:00p,Los Angeles Clippers,102,Philadelphia 76ers,101,Box Score,,"20,182",
"Fri, Jan 21, 2022",7:30p,Miami Heat,108,Atlanta Hawks,110,Box Score,,"16,385",
"Fri, Jan 21, 2022",7:30p,Portland Trail Blazers,109,Boston Celtics,105,Box Score,,"19,156",
"Fri, Jan 21, 2022",8:00p,Chicago Bulls,90,Milwaukee Bucks,94,Box Score,,"18,013",
"Fri, Jan 21, 2022",8:00p,Toronto Raptors,109,Washington Wizards,105,Box Score,,"14,755",
"Fri, Jan 21, 2022",8:30p,Brooklyn Nets,117,San Antonio Spurs,102,Box Score,,"15,068",
"Fri, Jan 21, 2022",9:00p,Memphis Grizzlies,122,Denver Nuggets,118,Box Score,,"17,009",
"Fri, Jan 21, 2022",9:00p,Detroit Pistons,101,Utah Jazz,111,Box Score,,"18,306",
"Fri, Jan 21, 2022",10:00p,Houston Rockets,103,Golden State Warriors,105,Box Score,,"18,064",
"Sat, Jan 22, 2022",7:00p,Sacramento Kings,127,Milwaukee Bucks,133,Box Score,,"17,341",
"Sat, Jan 22, 2022",8:00p,Oklahoma City Thunder,87,Cleveland Cavaliers,94,Box Score,,"19,432",
"Sat, Jan 22, 2022",9:00p,Indiana Pacers,103,Phoenix Suns,113,Box Score,,"17,071",
"Sun, Jan 23, 2022",1:00p,Los Angeles Clippers,102,New York Knicks,110,Box Score,,"19,812",
"Sun, Jan 23, 2022",3:30p,Boston Celtics,116,Washington Wizards,87,Box Score,,"16,371",
"Sun, Jan 23, 2022",6:00p,Los Angeles Lakers,107,Miami Heat,113,Box Score,,"19,973",
"Sun, Jan 23, 2022",6:00p,Chicago Bulls,95,Orlando Magic,114,Box Score,,"18,846",
"Sun, Jan 23, 2022",6:00p,Portland Trail Blazers,114,Toronto Raptors,105,Box Score,,,
"Sun, Jan 23, 2022",7:00p,Atlanta Hawks,113,Charlotte Hornets,91,Box Score,,"15,822",
"Sun, Jan 23, 2022",7:00p,Philadelphia 76ers,115,San Antonio Spurs,109,Box Score,,"16,437",
"Sun, Jan 23, 2022",7:30p,Memphis Grizzlies,91,Dallas Mavericks,104,Box Score,,"19,701",
"Sun, Jan 23, 2022",8:00p,Detroit Pistons,111,Denver Nuggets,117,Box Score,,"14,060",
"Sun, Jan 23, 2022",8:00p,Brooklyn Nets,125,Minnesota Timberwolves,136,Box Score,,"16,475",
"Sun, Jan 23, 2022",8:30p,Utah Jazz,92,Golden State Warriors,94,Box Score,,"18,064",
"Mon, Jan 24, 2022",7:00p,New York Knicks,93,Cleveland Cavaliers,95,Box Score,,"17,321",
"Mon, Jan 24, 2022",8:00p,Indiana Pacers,113,New Orleans Pelicans,117,Box Score,,"15,581",
"Mon, Jan 24, 2022",8:00p,Chicago Bulls,111,Oklahoma City Thunder,110,Box Score,,"14,378",
"Mon, Jan 24, 2022",9:00p,Utah Jazz,109,Phoenix Suns,115,Box Score,,"17,071",
"Tue, Jan 25, 2022",7:00p,Denver Nuggets,110,Detroit Pistons,105,Box Score,,"16,023",
"Tue, Jan 25, 2022",7:00p,New Orleans Pelicans,107,Philadelphia 76ers,117,Box Score,,"20,121",
"Tue, Jan 25, 2022",7:00p,Charlotte Hornets,113,Toronto Raptors,125,Box Score,,0,
"Tue, Jan 25, 2022",7:00p,Los Angeles Clippers,116,Washington Wizards,115,Box Score,,"13,544",
"Tue, Jan 25, 2022",7:30p,Sacramento Kings,75,Boston Celtics,128,Box Score,,"19,156",
"Tue, Jan 25, 2022",7:30p,Los Angeles Lakers,106,Brooklyn Nets,96,Box Score,,"18,126",
"Tue, Jan 25, 2022",8:00p,San Antonio Spurs,134,Houston Rockets,104,Box Score,,"15,007",
"Tue, Jan 25, 2022",10:00p,Dallas Mavericks,92,Golden State Warriors,130,Box Score,,"18,064",
"Tue, Jan 25, 2022",10:00p,Minnesota Timberwolves,109,Portland Trail Blazers,107,Box Score,,"16,422",
"Wed, Jan 26, 2022",7:00p,Milwaukee Bucks,99,Cleveland Cavaliers,115,Box Score,,"18,904",
"Wed, Jan 26, 2022",7:00p,Charlotte Hornets,158,Indiana Pacers,126,Box Score,,"14,116",
"Wed, Jan 26, 2022",7:00p,Los Angeles Clippers,111,Orlando Magic,102,Box Score,,"12,448",
"Wed, Jan 26, 2022",7:30p,Sacramento Kings,104,Atlanta Hawks,121,Box Score,,"15,080",
"Wed, Jan 26, 2022",7:30p,New York Knicks,96,Miami Heat,110,Box Score,,"19,600",
"Wed, Jan 26, 2022",8:00p,Denver Nuggets,124,Brooklyn Nets,118,Box Score,,"18,011",
"Wed, Jan 26, 2022",8:00p,Toronto Raptors,105,Chicago Bulls,111,Box Score,,"20,269",
"Wed, Jan 26, 2022",8:30p,Memphis Grizzlies,118,San Antonio Spurs,110,Box Score,,"14,662",
"Wed, Jan 26, 2022",10:00p,Dallas Mavericks,132,Portland Trail Blazers,112,Box Score,,"16,334",
"Wed, Jan 26, 2022",10:00p,Phoenix Suns,105,Utah Jazz,97,Box Score,,"18,306",
"Thu, Jan 27, 2022",7:30p,Los Angeles Lakers,87,Philadelphia 76ers,105,Box Score,,"20,953",
"Thu, Jan 27, 2022",10:00p,Minnesota Timberwolves,115,Golden State Warriors,124,Box Score,,"18,064",
"Fri, Jan 28, 2022",7:00p,Detroit Pistons,103,Orlando Magic,119,Box Score,,"13,156",
"Fri, Jan 28, 2022",7:30p,Boston Celtics,92,Atlanta Hawks,108,Box Score,,"16,932",
"Fri, Jan 28, 2022",7:30p,Los Angeles Lakers,114,Charlotte Hornets,117,Box Score,,"19,469",
"Fri, Jan 28, 2022",8:00p,Portland Trail Blazers,125,Houston Rockets,110,Box Score,,"16,100",
"Fri, Jan 28, 2022",8:00p,Utah Jazz,109,Memphis Grizzlies,119,Box Score,,"16,916",
"Fri, Jan 28, 2022",8:00p,Los Angeles Clippers,114,Miami Heat,121,Box Score,,"19,600",
"Fri, Jan 28, 2022",8:00p,Denver Nuggets,116,New Orleans Pelicans,105,Box Score,,"15,254",
"Fri, Jan 28, 2022",8:00p,Indiana Pacers,113,Oklahoma City Thunder,110,Box Score,OT,"15,106",
"Fri, Jan 28, 2022",8:30p,Chicago Bulls,122,San Antonio Spurs,131,Box Score,,"18,354",
"Fri, Jan 28, 2022",9:00p,Minnesota Timberwolves,124,Phoenix Suns,134,Box Score,,"17,071",
"Fri, Jan 28, 2022",10:00p,New York Knicks,108,Milwaukee Bucks,123,Box Score,,"17,341",
"Sat, Jan 29, 2022",7:00p,Indiana Pacers,105,Dallas Mavericks,132,Box Score,,"19,831",
"Sat, Jan 29, 2022",7:00p,Boston Celtics,107,New Orleans Pelicans,97,Box Score,,"16,168",
"Sat, Jan 29, 2022",7:30p,Sacramento Kings,101,Philadelphia 76ers,103,Box Score,,"20,380",
"Sat, Jan 29, 2022",8:00p,Washington Wizards,95,Memphis Grizzlies,115,Box Score,,"17,135",
"Sat, Jan 29, 2022",8:00p,Toronto Raptors,124,Miami Heat,120,Box Score,3OT,"19,600",
"Sat, Jan 29, 2022",8:30p,Brooklyn Nets,106,Golden State Warriors,110,Box Score,,"18,064",
"Sun, Jan 30, 2022",1:00p,Los Angeles Lakers,121,Atlanta Hawks,129,Box Score,,"17,391",
"Sun, Jan 30, 2022",1:00p,Los Angeles Clippers,115,Charlotte Hornets,90,Box Score,,"18,674",
"Sun, Jan 30, 2022",3:30p,Portland Trail Blazers,116,Chicago Bulls,130,Box Score,,"19,521",
"Sun, Jan 30, 2022",6:00p,Cleveland Cavaliers,105,Detroit Pistons,115,Box Score,,"16,811",
"Sun, Jan 30, 2022",7:00p,Denver Nuggets,136,Milwaukee Bucks,100,Box Score,,"17,341",
"Sun, Jan 30, 2022",7:00p,Dallas Mavericks,108,Orlando Magic,110,Box Score,,"13,376",
"Sun, Jan 30, 2022",8:00p,Utah Jazz,106,Minnesota Timberwolves,126,Box Score,,"10,407",
"Sun, Jan 30, 2022",8:00p,San Antonio Spurs,110,Phoenix Suns,115,Box Score,,"17,071",
